n,UnsortedArray,SortedArray,SLLUnsorted,SLLSorted,DLLUnsorted,DLLSorted
10,10.00,3.32,10.00,10.00,10.00,10.00
20,20.00,4.32,20.00,20.00,20.00,20.00
30,30.00,4.91,30.00,30.00,30.00,30.00
40,40.00,5.32,40.00,40.00,40.00,40.00
50,50.00,5.64,50.00,50.00,50.00,50.00
60,60.00,5.91,60.00,60.00,60.00,60.00
70,70.00,6.13,70.00,70.00,70.00,70.00
80,80.00,6.32,80.00,80.00,80.00,80.00
90,90.00,6.49,90.00,90.00,90.00,90.00
100,100.00,6.64,100.00,100.00,100.00,100.00
110,110.00,6.78,110.00,110.00,110.00,110.00
120,120.00,6.91,120.00,120.00,120.00,120.00
130,130.00,7.02,130.00,130.00,130.00,130.00
140,140.00,7.13,140.00,140.00,140.00,140.00
150,150.00,7.23,150.00,150.00,150.00,150.00
160,160.00,7.32,160.00,160.00,160.00,160.00
170,170.00,7.41,170.00,170.00,170.00,170.00
180,180.00,7.49,180.00,180.00,180.00,180.00
190,190.00,7.57,190.00,190.00,190.00,190.00
200,200.00,7.64,200.00,200.00,200.00,200.00
210,210.00,7.71,210.00,210.00,210.00,210.00
220,220.00,7.78,220.00,220.00,220.00,220.00
230,230.00,7.85,230.00,230.00,230.00,230.00
240,240.00,7.91,240.00,240.00,240.00,240.00
250,250.00,7.97,250.00,250.00,250.00,250.00
260,260.00,8.02,260.00,260.00,260.00,260.00
270,270.00,8.08,270.00,270.00,270.00,270.00
280,280.00,8.13,280.00,280.00,280.00,280.00
290,290.00,8.18,290.00,290.00,290.00,290.00
300,300.00,8.23,300.00,300.00,300.00,300.00
310,310.00,8.28,310.00,310.00,310.00,310.00
320,320.00,8.32,320.00,320.00,320.00,320.00
330,330.00,8.37,330.00,330.00,330.00,330.00
340,340.00,8.41,340.00,340.00,340.00,340.00
350,350.00,8.45,350.00,350.00,350.00,350.00
360,360.00,8.49,360.00,360.00,360.00,360.00
370,370.00,8.53,370.00,370.00,370.00,370.00
380,380.00,8.57,380.00,380.00,380.00,380.00
390,390.00,8.61,390.00,390.00,390.00,390.00
400,400.00,8.64,400.00,400.00,400.00,400.00
410,410.00,8.68,410.00,410.00,410.00,410.00
420,420.00,8.71,420.00,420.00,420.00,420.00
430,430.00,8.75,430.00,430.00,430.00,430.00
440,440.00,8.78,440.00,440.00,440.00,440.00
450,450.00,8.81,450.00,450.00,450.00,450.00
460,460.00,8.85,460.00,460.00,460.00,460.00
470,470.00,8.88,470.00,470.00,470.00,470.00
480,480.00,8.91,480.00,480.00,480.00,480.00
490,490.00,8.94,490.00,490.00,490.00,490.00
500,500.00,8.97,500.00,500.00,500.00,500.00
510,510.00,8.99,510.00,510.00,510.00,510.00
520,520.00,9.02,520.00,520.00,520.00,520.00
530,530.00,9.05,530.00,530.00,530.00,530.00
540,540.00,9.08,540.00,540.00,540.00,540.00
550,550.00,9.10,550.00,550.00,550.00,550.00
560,560.00,9.13,560.00,560.00,560.00,560.00
570,570.00,9.15,570.00,570.00,570.00,570.00
580,580.00,9.18,580.00,580.00,580.00,580.00
590,590.00,9.20,590.00,590.00,590.00,590.00
600,600.00,9.23,600.00,600.00,600.00,600.00
610,610.00,9.25,610.00,610.00,610.00,610.00
620,620.00,9.28,620.00,620.00,620.00,620.00
630,630.00,9.30,630.00,630.00,630.00,630.00
640,640.00,9.32,640.00,640.00,640.00,640.00
650,650.00,9.34,650.00,650.00,650.00,650.00
660,660.00,9.37,660.00,660.00,660.00,660.00
670,670.00,9.39,670.00,670.00,670.00,670.00
680,680.00,9.41,680.00,680.00,680.00,680.00
690,690.00,9.43,690.00,690.00,690.00,690.00
700,700.00,9.45,700.00,700.00,700.00,700.00
710,710.00,9.47,710.00,710.00,710.00,710.00
720,720.00,9.49,720.00,720.00,720.00,720.00
730,730.00,9.51,730.00,730.00,730.00,730.00
740,740.00,9.53,740.00,740.00,740.00,740.00
750,750.00,9.55,750.00,750.00,750.00,750.00
760,760.00,9.57,760.00,760.00,760.00,760.00
770,770.00,9.59,770.00,770.00,770.00,770.00
780,780.00,9.61,780.00,780.00,780.00,780.00
790,790.00,9.63,790.00,790.00,790.00,790.00
800,800.00,9.64,800.00,800.00,800.00,800.00
810,810.00,9.66,810.00,810.00,810.00,810.00
820,820.00,9.68,820.00,820.00,820.00,820.00
830,830.00,9.70,830.00,830.00,830.00,830.00
840,840.00,9.71,840.00,840.00,840.00,840.00
850,850.00,9.73,850.00,850.00,850.00,850.00
860,860.00,9.75,860.00,860.00,860.00,860.00
870,870.00,9.76,870.00,870.00,870.00,870.00
880,880.00,9.78,880.00,880.00,880.00,880.00
890,890.00,9.80,890.00,890.00,890.00,890.00
900,900.00,9.81,900.00,900.00,900.00,900.00
910,910.00,9.83,910.00,910.00,910.00,910.00
920,920.00,9.85,920.00,920.00,920.00,920.00
930,930.00,9.86,930.00,930.00,930.00,930.00
940,940.00,9.88,940.00,940.00,940.00,940.00
950,950.00,9.89,950.00,950.00,950.00,950.00
960,960.00,9.91,960.00,960.00,960.00,960.00
970,970.00,9.92,970.00,970.00,970.00,970.00
980,980.00,9.94,980.00,980.00,980.00,980.00
990,990.00,9.95,990.00,990.00,990.00,990.00
1000,1000.00,9.97,1000.00,1000.00,1000.00,1000.00
